Chhattisgarh,Bhilai,"Civic Center, Bhilai - Bhilai Steel Plant",25-02-2023,16:00:00,NA,NA,NA,NA,NA,22,21,NA,NA
Chhattisgarh,Bhilai,"Hathkhoj, Bhilai - CECB",25-02-2023,16:00:00,72,82,25,8,29,27,24,82,Moderate
Chhattisgarh,Bilaspur,"Mangala, Bilaspur - NTPC",25-02-2023,16:00:00,41,45,25,NA,12,75,NA,75,Moderate
Chhattisgarh,Chhal,"Nawapara SECL Colony, Chhal - CECB",25-02-2023,16:00:00,40,61,23,2,17,27,36,61,Moderate
Chhattisgarh,Korba,"Urja Nagar, Korba - CECB",25-02-2023,16:00:00,53,76,39,10,13,21,4,76,Moderate
Chhattisgarh,Milupara,"Govt. Higher Secondary School, Milupara - CECB",25-02-2023,16:00:00,35,36,18,1,12,24,53,53,Moderate
Chhattisgarh,Raipur,"AIIMS, Raipur - CECB",25-02-2023,16:00:00,57,92,11,17,13,62,13,92,Moderate
Chhattisgarh,Raipur,"Bhatagaon New ISBT, Raipur - CECB",25-02-2023,16:00:00,62,89,122,7,9,45,16,122,Sensitive groups
Chhattisgarh,Raipur,"Krishak Nagar, Raipur - CECB",25-02-2023,16:00:00,48,88,88,2,18,48,12,88,Moderate
Chhattisgarh,Raipur,"Siltara Phase-II, Raipur - CECB",25-02-2023,16:00:00,NA,NA,55,6,16,65,7,NA,NA
Chhattisgarh,Tumidih,"OP Jindal Industrial Park, Tumidih - CECB",25-02-2023,16:00:00,112,108,45,6,19,33,76,112,Sensitive groups
Delhi,Delhi,"Alipur, Delhi - DPCC",25-02-2023,16:00:00,231,160,44,5,20,42,71,231,Very Unhealthy
Delhi,Delhi,"Anand Vihar, Delhi - DPCC",25-02-2023,16:00:00,240,263,132,7,31,75,20,263,Very Unhealthy
Delhi,Delhi,"Ashok Vihar, Delhi - DPCC",25-02-2023,16:00:00,217,207,53,10,6,36,4,217,Very Unhealthy
Delhi,Delhi,"Aya Nagar, Delhi - IMD",25-02-2023,16:00:00,116,147,22,NA,NA,23,24,147,Sensitive groups
Delhi,Delhi,"Bawana, Delhi - DPCC",25-02-2023,16:00:00,262,229,24,14,3,45,40,262,Very Unhealthy
Delhi,Delhi,"Burari Crossing, Delhi - IMD",25-02-2023,16:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA
Delhi,Delhi,"CRRI Mathura Road, Delhi - IMD",25-02-2023,16:00:00,NA,NA,NA,NA,NA,84,40,NA,NA
Delhi,Delhi,"Chandni Chowk, Delhi - IITM",25-02-2023,16:00:00,226,228,20,8,25,NA,31,228,Very Unhealthy
Delhi,Delhi,"DTU, Delhi - CPCB",25-02-2023,16:00:00,131,212,26,16,13,49,29,212,Very Unhealthy
Delhi,Delhi,"Dr. Karni Singh Shooting Range, Delhi - DPCC",25-02-2023,16:00:00,184,169,164,9,11,41,44,184,Unhealthy
Delhi,Delhi,"Dwarka-Sector 8, Delhi - DPCC ",25-02-2023,16:00:00,226,249,42,14,7,63,32,249,Very Unhealthy
Delhi,Delhi,"IGI Airport (T3), Delhi - IMD",25-02-2023,16:00:00,187,157,39,NA,NA,78,17,187,Unhealthy
Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB",25-02-2023,16:00:00,NA,NA,NA,NA,NA,31,56,NA,NA
Delhi,Delhi,"ITO, Delhi - CPCB",25-02-2023,16:00:00,237,173,111,22,10,44,50,237,Very Unhealthy
Delhi,Delhi,"Jahangirpuri, Delhi - DPCC",25-02-2023,16:00:00,248,260,51,30,29,56,45,260,Very Unhealthy
Delhi,Delhi,"Jawaharlal Nehru Stadium, Delhi - DPCC",25-02-2023,16:00:00,194,141,40,11,7,39,46,194,Unhealthy
Delhi,Delhi,"Lodhi Road, Delhi - IITM",25-02-2023,16:00:00,257,143,76,NA,12,NA,NA,257,Very Unhealthy
Delhi,Delhi,"Lodhi Road, Delhi - IMD",25-02-2023,16:00:00,150,145,5,NA,NA,90,44,150,Sensitive groups
Delhi,Delhi,"Major Dhyan Chand National Stadium, Delhi - DPCC",25-02-2023,16:00:00,215,174,45,11,8,31,48,215,Very Unhealthy
Delhi,Delhi,"Mandir Marg, Delhi - DPCC",25-02-2023,16:00:00,212,162,83,15,11,31,51,212,Very Unhealthy
Delhi,Delhi,"Mundka, Delhi - DPCC",25-02-2023,16:00:00,250,261,48,7,13,35,156,261,Very Unhealthy
Delhi,Delhi,"NSIT Dwarka, Delhi - CPCB",25-02-2023,16:00:00,305,245,48,8,9,53,49,305,Hazardous
Delhi,Delhi,"Najafgarh, Delhi - DPCC",25-02-2023,16:00:00,144,131,13,14,2,NA,43,144,Sensitive groups
Delhi,Delhi,"Narela, Delhi - DPCC",25-02-2023,16:00:00,255,206,45,10,18,43,60,255,Very Unhealthy
Delhi,Delhi,"Nehru Nagar, Delhi - DPCC",25-02-2023,16:00:00,237,174,73,11,15,23,102,237,Very Unhealthy
Delhi,Delhi,"North Campus, DU, Delhi - IMD",25-02-2023,16:00:00,193,153,29,NA,NA,104,16,193,Unhealthy
Delhi,Delhi,"Okhla Phase-2, Delhi - DPCC",25-02-2023,16:00:00,193,197,94,9,16,71,46,197,Unhealthy
Delhi,Delhi,"Patparganj, Delhi - DPCC",25-02-2023,16:00:00,240,204,91,9,6,78,182,240,Very Unhealthy
Delhi,Delhi,"Punjabi Bagh, Delhi - DPCC",25-02-2023,16:00:00,244,198,78,6,21,26,7,244,Very Unhealthy
Delhi,Delhi,"Pusa, Delhi - DPCC",25-02-2023,16:00:00,244,218,50,24,5,53,18,244,Very Unhealthy
Delhi,Delhi,"Pusa, Delhi - IMD",25-02-2023,16:00:00,204,158,56,NA,NA,39,21,204,Very Unhealthy
Delhi,Delhi,"R K Puram, Delhi - DPCC",25-02-2023,16:00:00,230,176,95,8,21,55,185,230,Very Unhealthy
Delhi,Delhi,"Rohini, Delhi - DPCC",25-02-2023,16:00:00,244,213,28,13,7,43,33,244,Very Unhealthy
